ID,APPLICANT,APPLICATION_ID,AGREEMENT_ID,EDB_LOAN_ID,EDB_CUSTOMER_ID,REQUEST_TYPE,CURRENT_SALARY,OVER_DUE_AMT,OVER_DUE_MONTHS,DEDUCT_FROM_SALARY,APPROVED_REQUEST_TYPE,NEW_EMI_APPLICABLE_MONTHS,CURRENT_EMI_AMT,NEW_EMI_AMT,CREATED_DATE,STATUS,APPROVED_DATE,JUSTIFICATIONS,REMARKS,UNTIL_LOAN_END,ADDITIONAL_MONTHS,ADDITIONAL_PREMIUM,START_MONTH,START_YEAR
MRE_AR_2983,MMOEI_198830127421,MSZHP_127503,MAGREE_108559,LD1613219155,104024,UPDATE_INSTALLMENT,75000,176388,19,YES,UPDATE_INSTALLMENT,,9518,5482,2023-12-15 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,0,5482,12,2023
MRE_AR_2995,MMOEI_1979619960,MSZHP_67482,MAGREE_33754,LD1524502761,16989,TRANSFER_ARREARS,10000,171327,39,YES,TRANSFER_ARREARS,,4393,0,2023-12-21 00:00:00,APPROVED,2024-02-08 00:00:00,,,,0,0,2,2024
MRE_AR_2996,MMOEI_1986627649,MSZHP_146985,MAGREE_110677,LD1831858005,118087,UPDATE_INSTALLMENT,27000,91014,21,YES,UPDATE_INSTALLMENT,,4334,1070.75,2023-12-21 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,85,1070.75,1,2024
MRE_AR_2997,MMOEI_19777041319,MSZHP_108639,MAGREE_32931,LD1524507829,17134,UPDATE_INSTALLMENT,23900,6668,2,YES,UPDATE_INSTALLMENT,,3334,512.92,2023-12-21 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,13,512.92,12,2023
MRE_AR_3002,MMOEI_1987625578,MSZHP_133174,MAGREE_42851,LD1716981662,109256,UPDATE_INSTALLMENT,21200,134948,44,YES,UPDATE_INSTALLMENT,,3067,1163.34,2023-12-22 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,116,1163.34,1,2024
MRE_AR_3003,MMOEI_199420226983,MSZHP_157555,MAGREE_117325,LD2028239301,137903,TRANSFER_ARREARS,23500,106764,21,YES,TRANSFER_ARREARS,,5084,0,2023-12-23 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,0,0,1,2024
MRE_AR_3004,MMOEI_19926025971,MSZHP_136850,MAGREE_43452,LD1802116437,113198,UPDATE_INSTALLMENT,20385,113429,31,YES,UPDATE_INSTALLMENT,,3659,418,2023-12-25 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,0,418,1,2024
MRE_AR_3005,MMOEI_19823054014,MSZHP_146856,MAGREE_108425,LD1524503488,17794,UPDATE_INSTALLMENT,45480,32175,5,YES,UPDATE_INSTALLMENT,,6435,1005.47,2023-12-25 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,32,1005.47,1,2024
MRE_AR_3006,MMOEI_198120128384,MSZHP_166280,MAGREE_131506,LD2214071706,142870,UPDATE_INSTALLMENT,26950,11440,4,YES,UPDATE_INSTALLMENT,,2860,2288,2023-12-26 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,5,2288,1,2024
MRE_AR_3008,MMOEI_1988710640,MSZHP_154218,MAGREE_116882,LD2103570138,141327,UPDATE_INSTALLMENT,17704,3126,1,YES,UPDATE_INSTALLMENT,,3126,390.75,2023-12-26 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,8,390.75,1,2024
MRE_AR_3009,MMOEI_19843054373,MSZHP_70889,MAGREE_34380,LD1524502564,16743,UPDATE_INSTALLMENT,23000,43013.34,13,YES,UPDATE_INSTALLMENT,,3226,1371.97,2023-12-26 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,29,1371.97,1,2024
MRE_AR_3011,MMOEI_19876111004,MSZHP_157514,MAGREE_116765,LD2109800090,142869,UPDATE_INSTALLMENT,27000,71036,14,YES,UPDATE_INSTALLMENT,,5074,389.5,2023-12-27 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,0,389.5,1,2024
MRE_AR_3012,MMOEI_197130114779,MSZHP_3069,MAGREE_77704,LD1524506008,12202,UPDATE_INSTALLMENT,14500,32288,16,YES,UPDATE_INSTALLMENT,,2018,504.5,2023-12-28 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,64,504.5,1,2024
MRE_AR_3015,MMOEI_196740113422,MSZHP_169931,MAGREE_132298,LD2230792397,156127,UPDATE_INSTALLMENT,20500,19506,6,YES,UPDATE_INSTALLMENT,,3251,527.19,2024-01-02 00:00:00,APPROVED,2024-06-12 00:00:00,Bulk Approved by Manager,,,37,527.19,6,2024
MRE_AR_3016,MMOEI_19923057352,MSZHP_146508,MAGREE_109501,LD1918872066,121327,UPDATE_INSTALLMENT,18200,75192,26,YES,UPDATE_INSTALLMENT,,2892,744.48,2024-01-02 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,101,744.48,1,2024
MRE_AR_3018,MMOEI_19915018711,MSZHP_113334,MAGREE_35820,LD1601110822,102574,TRANSFER_ARREARS,1000,49608,12,YES,TRANSFER_ARREARS,,4134,0,2024-01-03 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,0,0,1,2024
MRE_AR_3020,MMOEI_19834023168,MSZHP_47981,MAGREE_77342,LD1524594610,11172,UPDATE_INSTALLMENT,23100,42028,14,YES,UPDATE_INSTALLMENT,,3002,1000.66,2024-01-03 00:00:00,APPROVED,2024-05-17 00:00:00,Bulk Approved by Manager,,,42,1000.66,5,2024
MRE_AR_3022,MMOEI_19837071832,MSZHP_52245,MAGREE_75093,LD1524505647,10233,UPDATE_INSTALLMENT,47000,109557,37,YES,UPDATE_INSTALLMENT,,2961,1304.25,2024-01-03 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,84,1304.25,1,2024
MRE_AR_3024,MMOEI_19857062666,MSZHP_150306,MAGREE_112984,LD2035202729,139948,UPDATE_INSTALLMENT,33800,35706,6,YES,UPDATE_INSTALLMENT,,5951,793.47,2024-01-05 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,45,793.47,1,2024
MRE_AR_3026,MMOEI_19833045165,MSZHP_56977,MAGREE_32477,LD1524507279,15149,UPDATE_INSTALLMENT,26295,16408,4,YES,UPDATE_INSTALLMENT,,4102,1127,2024-01-05 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,14,1127,1,2024
MRE_AR_3027,MMOEI_1988710612,MSZHP_110356,MAGREE_36003,LD1530723823,101426,UPDATE_INSTALLMENT,23450,28588,7,YES,UPDATE_INSTALLMENT,,4084,608.26,2024-01-05 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,47,608.26,1,2024
MRE_AR_3028,MMOEI_19847062377,MSZHP_140208,MAGREE_132219,LD1729606907,111519,UPDATE_INSTALLMENT,28300,133646,38,YES,UPDATE_INSTALLMENT,,3517,707.12,2024-01-05 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,189,707.12,1,2024
MRE_AR_3029,MMOEI_1987616848,MSZHP_121716,MAGREE_37366,LD1605400270,103153,UPDATE_INSTALLMENT,26600,105455,23,YES,UPDATE_INSTALLMENT,,4585,735,2024-01-05 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,0,735,1,2024
MRE_AR_3031,MMOEI_19836092438,MSZHP_141769,MAGREE_107082,LD1905784483,119569,UPDATE_INSTALLMENT,65015,218925,21,YES,UPDATE_INSTALLMENT,,10425,2516.4,2024-01-08 00:00:00,APPROVED,2024-02-28 00:00:00,Bulk Approved by Manager,,,87,2516.4,2,2024
MRE_AR_3033,MMOEI_19804018337,MSZHP_130569,MAGREE_39551,LD1621715657,104949,UPDATE_INSTALLMENT,81400,68264,7,YES,UPDATE_INSTALLMENT,,9752,5688.66,2024-01-08 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,12,5688.66,1,2024
MRE_AR_3035,MMOEI_19794021186,MSZHP_33575,MAGREE_71034,LD1524591010,6668,UPDATE_INSTALLMENT,11273,6668,4,YES,UPDATE_INSTALLMENT,,1667,555.67,2024-01-08 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,12,555.67,1,2024
MRE_AR_3036,MMOEI_1970612684,MSZHP_128799,MAGREE_37131,LD1612980891,103952,UPDATE_INSTALLMENT,28816,24825,5,YES,UPDATE_INSTALLMENT,,4965,506.63,2024-01-09 00:00:00,APPROVED,2024-01-09 00:00:00,Bulk Approved by Manager,,,49,506.63,1,2024
MRE_AR_3037,MMOEI_1985607960,MSZHP_59426,MAGREE_33679,LD1524502623,16820,UPDATE_INSTALLMENT,38470,19975.11,4,YES,UPDATE_INSTALLMENT,,5618,1997.51,2024-01-09 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,10,1997.51,1,2024
MRE_AR_3038,MMOEI_198530118667,MSZHP_64406,MAGREE_34745,LD1524503003,17264,UPDATE_INSTALLMENT,20300,3292,1,YES,UPDATE_INSTALLMENT,,3292,548.66,2024-01-09 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,6,548.66,1,2024
MRE_AR_3039,MMOEI_197310132256,MSZHP_32110,MAGREE_62110,LD1524587911,3219,UPDATE_INSTALLMENT,30400,9169,6,YES,UPDATE_INSTALLMENT,,1667,509.38,2024-01-10 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,18,509.38,1,2024
MRE_AR_3043,MMOEI_197930122840,MSZHP_92372,MAGREE_35710,LD1524503499,17806,UPDATE_INSTALLMENT,30821,43290,13,YES,UPDATE_INSTALLMENT,,3330,2705.63,2024-01-10 00:00:00,APPROVED,2024-01-15 00:00:00,Bulk Approved by Manager,,,16,2705.63,1,2024
MRE_AR_3045,MMOEI_19857011628,MSZHP_56468,MAGREE_80311,LD1524505705,10632,UPDATE_INSTALLMENT,34000,100677,37,YES,UPDATE_INSTALLMENT,,2721,3968.13,2024-01-11 00:00:00,APPROVED,2024-03-13 00:00:00,Bulk Approved by Manager,,,24,3968.13,1,2024
MRE_AR_3046,MMOEI_19877072687,MSZHP_139483,MAGREE_43319,LD1806305065,114061,UPDATE_INSTALLMENT,32110,51188,16,YES,UPDATE_INSTALLMENT,,3201,2132.83,2024-01-11 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,24,2132.83,1,2024
MRE_AR_3047,MMOEI_1981617873,MSZHP_41763,MAGREE_28617,LD1524595864,13477,UPDATE_INSTALLMENT,10000,3334,2,YES,UPDATE_INSTALLMENT,,1667,303.09,2024-01-11 00:00:00,APPROVED,2024-01-11 00:00:00,Bulk Approved by Manager,,,11,303.09,1,2024
MRE_AR_3048,MMOEI_19796015477,MSZHP_129963,MAGREE_113477,LD1636328457,106801,UPDATE_INSTALLMENT,35600,129024,24,YES,UPDATE_INSTALLMENT,,5376,1743.56,2024-01-11 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,74,1743.56,2,2024
MRE_AR_3051,MMOEI_19836092523,MSZHP_67051,MAGREE_33399,LD1524503077,17347,UPDATE_INSTALLMENT,27610,171966.72,33,YES,UPDATE_INSTALLMENT,,5159,363,2024-01-12 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,0,363,1,2024
MRE_AR_3052,MMOEI_19804016799,MSZHP_128199,MAGREE_37536,LD1524503607,17918,UPDATE_INSTALLMENT,21712.8,9423,3,YES,UPDATE_INSTALLMENT,,3141,1177.87,2024-01-13 00:00:00,APPROVED,2024-08-12 00:00:00,Bulk Approved by Manager,,,8,1177.87,1,2024
MRE_AR_3053,MMOEI_19956026160,MSZHP_139778,MAGREE_45701,LD1824759098,116943,TRANSFER_ARREARS,23650,23924.1,5,YES,TRANSFER_ARREARS,,4784.82,0,2024-01-13 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,0,0,1,2024
MRE_AR_3054,MMOEI_19833045265,MSZHP_133272,MAGREE_42003,LD1719130428,109557,UPDATE_INSTALLMENT,17099,2642,1,YES,UPDATE_INSTALLMENT,,2642,528.4,2024-01-13 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,5,528.4,1,2024
MRE_AR_3055,MMOEI_19856061200,MSZHP_135959,MAGREE_117724,LD1806510791,114089,UPDATE_INSTALLMENT,30000,55561,11,YES,UPDATE_INSTALLMENT,,5051,509.73,2024-01-15 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,0,509.73,1,2024
MRE_AR_3057,MMOEI_19867111023,MSZHP_98947,MAGREE_31072,LD1524507554,15906,UPDATE_INSTALLMENT,40400,21472,4,YES,UPDATE_INSTALLMENT,,5368,2385.77,2024-01-15 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,9,2385.77,1,2024
MRE_AR_3059,MMOEI_197930116734,MSZHP_33747,MAGREE_77618,LD1524594867,11514,UPDATE_INSTALLMENT,35000,141930,57,YES,UPDATE_INSTALLMENT,,2490,3019.78,2024-01-15 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,47,3019.78,1,2024
MRE_AR_3060,MMOEI_190020215635,MSZHP_43595,MAGREE_50074,LD1524586896,2079,UPDATE_INSTALLMENT,83300,106688,64,YES,UPDATE_INSTALLMENT,,1667,2012.98,2024-01-15 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,53,2012.98,1,2024
MRE_AR_3061,MMOEI_19956041451,MSZHP_135060,MAGREE_41098,LD1719353192,109608,UPDATE_INSTALLMENT,18200,80520,30,YES,UPDATE_INSTALLMENT,,2684,500.12,2024-01-15 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,161,500.12,1,2024
MRE_AR_3062,MMOEI_19914019727,MSZHP_158092,MAGREE_117267,LD2032061390,139093,UPDATE_INSTALLMENT,36355,141813.6,30,YES,UPDATE_INSTALLMENT,,4701,984.81,2024-01-16 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,144,984.81,1,2024
MRE_AR_3063,MMOEI_19917072895,MSZHP_144700,MAGREE_108426,LD1917862127,121194,UPDATE_INSTALLMENT,49910,125419,19,YES,UPDATE_INSTALLMENT,,6601,1292.97,2024-01-16 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,97,1292.97,1,2024
MRE_AR_3064,MMOEI_19923047199,MSZHP_127004,MAGREE_46039,LD1801466942,113038,UPDATE_INSTALLMENT,32900,88524,18,YES,UPDATE_INSTALLMENT,,4918,1301.82,2024-01-16 00:00:00,APPROVED,2024-01-16 00:00:00,Bulk Approved by Manager,,,0,1301.82,1,2024
MRE_AR_3065,MMOEI_19786014848,MSZHP_132386,MAGREE_39520,LD1703719200,107353,UPDATE_INSTALLMENT,38640,89344,16,YES,UPDATE_INSTALLMENT,,5584,1191.25,2024-01-16 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,75,1191.25,1,2024
MRE_AR_3066,MMOEI_19856092509,MSZHP_130828,MAGREE_38571,LD1626407150,105450,UPDATE_INSTALLMENT,34210,5243,1,YES,UPDATE_INSTALLMENT,,5243,524.3,2024-01-16 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,10,524.3,1,2024
MRE_AR_3067,MMOEI_1983606988,MSZHP_38194,MAGREE_70095,LD1524505625,10040,UPDATE_INSTALLMENT,41000,56242.72,19,YES,UPDATE_INSTALLMENT,,3013,1004.33,2024-01-16 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,56,1004.33,1,2024
MRE_AR_3069,MMOEI_19775018131,MSZHP_94212,MAGREE_131797,LD1524503209,17497,TRANSFER_ARREARS,24500,39200,8,YES,TRANSFER_ARREARS,,4900,0,2024-01-17 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,0,0,1,2024
MRE_AR_3071,MMOEI_19686022681,MSZHP_9328,MAGREE_61548,LD1524587715,3006,UPDATE_INSTALLMENT,68000,5001,3,YES,UPDATE_INSTALLMENT,,1667,1667,2024-01-17 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,3,1667,1,2024
MRE_AR_3073,MMOEI_19826092052,MSZHP_132864,MAGREE_38968,LD1632271600,106285,UPDATE_INSTALLMENT,31165,69326,17,YES,UPDATE_INSTALLMENT,,4078,770.29,2024-01-17 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,90,770.29,1,2024
MRE_AR_3074,MMOEI_19946017269,MSZHP_163614,MAGREE_131739,LD2222407995,154761,UPDATE_INSTALLMENT,17500,45390,15,YES,UPDATE_INSTALLMENT,,3026,472.81,2024-01-18 00:00:00,APPROVED,2024-01-18 00:00:00,Bulk Approved by Manager,,,96,472.81,1,2024
MRE_AR_3075,MMOEI_19856025321,MSZHP_137779,MAGREE_132660,LD1800481644,112855,UPDATE_INSTALLMENT,59687,121900,23,YES,UPDATE_INSTALLMENT,,5300,3386.11,2024-01-18 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,36,3386.11,2,2024
MRE_AR_3076,MMOEI_19846024722,MSZHP_128130,MAGREE_37540,LD1617284468,104432,UPDATE_INSTALLMENT,32285,27188,7,YES,UPDATE_INSTALLMENT,,3884,503.48,2024-01-18 00:00:00,APPROVED,2024-01-25 00:00:00,Bulk Approved by Manager,,,54,503.48,1,2024
MRE_AR_3081,MMOEI_19917073386,MSZHP_151934,MAGREE_110383,LD1808752633,114488,UPDATE_INSTALLMENT,38550,152640,24,YES,UPDATE_INSTALLMENT,,6360,1338.94,2024-01-18 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,0,1338.94,2,2024
MRE_AR_3083,MMOEI_19834018720,MSZHP_155454,MAGREE_117489,LD2116068583,144992,UPDATE_INSTALLMENT,33100,102020.4,20,YES,UPDATE_INSTALLMENT,,5001,1619.37,2024-01-20 00:00:00,APPROVED,2024-01-25 00:00:00,Bulk Approved by Manager,,,63,1619.37,1,2024
MRE_AR_3084,MMOEI_19833055750,MSZHP_130544,MAGREE_37981,LD1620793671,104816,UPDATE_INSTALLMENT,35900,156168,24,YES,UPDATE_INSTALLMENT,,6507,403.53,2024-01-22 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,387,403.53,2,2024
MRE_AR_3087,MMOEI_19834016808,MSZHP_58276,MAGREE_42672,LD1524504002,18319,TRANSFER_ARREARS,0,5475,3,YES,TRANSFER_ARREARS,,1825,0,2024-01-22 00:00:00,APPROVED,2024-01-25 00:00:00,Bulk Approved by Manager,,,0,0,1,2024
MRE_AR_3091,MMOEI_198940110921,MSZHP_157845,MAGREE_117536,LD2116502097,111596,UPDATE_INSTALLMENT,19837,3214,1,YES,UPDATE_INSTALLMENT,,3214,642.8,2024-01-23 00:00:00,APPROVED,2024-02-05 00:00:00,Bulk Approved by Manager,,,5,642.8,2,2024
MRE_AR_3094,MMOEI_1979710455,MSZHP_50837,MAGREE_78788,LD1524595458,12450,UPDATE_INSTALLMENT,28945,114855,39,YES,UPDATE_INSTALLMENT,,2945,2801.34,2024-01-23 00:00:00,APPROVED,2024-01-25 00:00:00,Bulk Approved by Manager,,,41,2801.34,1,2024
MRE_AR_3095,MMOEI_198820225289,MSZHP_137361,MAGREE_44122,LD1731734863,111933,UPDATE_INSTALLMENT,21000,114108,37,YES,UPDATE_INSTALLMENT,,3084,1107.84,2024-01-24 00:00:00,APPROVED,2024-02-05 00:00:00,Bulk Approved by Manager,,,103,1107.84,2,2024
MRE_AR_3097,MMOEI_1982628595,MSZHP_135740,MAGREE_43706,LD1729652001,111509,UPDATE_INSTALLMENT,27250,24954,6,YES,UPDATE_INSTALLMENT,,4159,1247.7,2024-01-24 00:00:00,APPROVED,2024-03-21 00:00:00,Bulk Approved by Manager,,,20,1247.7,2,2024
MRE_AR_3098,MMOEI_1995714607,MSZHP_147581,MAGREE_47289,LD1803957521,113648,UPDATE_INSTALLMENT,20700,13420,5,YES,UPDATE_INSTALLMENT,,2684,1118.33,2024-01-24 00:00:00,APPROVED,2024-02-22 00:00:00,Bulk Approved by Manager,,,12,1118.33,2,2024
MRE_AR_3099,MMOEI_19817061774,MSZHP_55194,MAGREE_29360,LD1524596062,14530,UPDATE_INSTALLMENT,33735,9525,3,YES,UPDATE_INSTALLMENT,,3175,793.75,2024-01-24 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,12,793.75,2,2024
MRE_AR_3100,MMOEI_19907062926,MSZHP_142473,MAGREE_47358,LD1818964311,116091,UPDATE_INSTALLMENT,23260,3828,1,YES,UPDATE_INSTALLMENT,,3828,546.85,2024-01-24 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,7,546.85,2,2024
MRE_AR_3101,MMOEI_19845017782,MSZHP_69666,MAGREE_78802,LD1524506100,12587,UPDATE_INSTALLMENT,35700,7349,3,YES,UPDATE_INSTALLMENT,,2451,1049.85,2024-01-24 00:00:00,APPROVED,2024-02-15 00:00:00,Bulk Approved by Manager,,,7,1049.85,2,2024
MRE_AR_3102,MMOEI_19937073104,MSZHP_143965,MAGREE_108914,LD1921902845,121847,UPDATE_INSTALLMENT,24300,31724,7,YES,UPDATE_INSTALLMENT,,4532,110.1,2024-01-24 00:00:00,APPROVED,2024-02-05 00:00:00,Bulk Approved by Manager,,,0,110.1,2,2024
MRE_AR_3103,MMOEI_19937073492,MSZHP_147326,MAGREE_109950,LD1913671060,120706,UPDATE_INSTALLMENT,28862,15399,3,YES,UPDATE_INSTALLMENT,,5133,615.96,2024-01-24 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,25,615.96,2,2024
MRE_AR_3104,MMOEI_19817061547,MSZHP_38428,MAGREE_68179,LD1524589415,4861,UPDATE_INSTALLMENT,15167,147450,50,YES,UPDATE_INSTALLMENT,,2949,84,2024-01-25 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,0,84,2,2024
MRE_AR_3106,MMOEI_195720210622,MSZHP_128283,MAGREE_37458,LD1613628987,104042,UPDATE_INSTALLMENT,19100,6368,2,YES,UPDATE_INSTALLMENT,,3184,530.66,2024-01-26 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,12,530.66,2,2024
MRE_AR_3107,MMOEI_19797071594,MSZHP_30020,MAGREE_65642,LD1524594564,11098,UPDATE_INSTALLMENT,41500,145605,51,YES,UPDATE_INSTALLMENT,,2855,3551.34,2024-01-26 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,41,3551.34,2,2024
MRE_AR_3108,MMOEI_1986612844,MSZHP_137953,MAGREE_134053,LD1736135005,112763,UPDATE_INSTALLMENT,19955,26257,7,YES,UPDATE_INSTALLMENT,,3751,240.88,2024-01-26 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,109,240.88,1,2024
MRE_AR_3111,MMOEI_19936111129,MSZHP_147118,MAGREE_47007,LD1906488512,119670,UPDATE_INSTALLMENT,28400,36036,10,YES,UPDATE_INSTALLMENT,,3726,1501.5,2024-01-29 00:00:00,APPROVED,2024-02-05 00:00:00,Bulk Approved by Manager,,,24,1501.5,1,2024
MRE_AR_3112,MMOEI_19906111133,MSZHP_142704,MAGREE_46562,LD1827764809,117451,UPDATE_INSTALLMENT,29000,4384,1,YES,UPDATE_INSTALLMENT,,4384,548,2024-01-29 00:00:00,APPROVED,2024-02-08 00:00:00,Bulk Approved by Manager,,,8,548,1,2024
